comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10156316962108463_10156317258028463,8245623462_10156316962108463,10156316962108463_10156317147103463,"b""No he couldn't, they were playing the suns with no booker \xf0\x9f\x98\xb3""",0,2018-03-18 03:29:09,0
10156316962108463_10156317377883463,8245623462_10156316962108463,10156316962108463_10156317147103463,b'Agreed Gabe',0,2018-03-18 04:22:52,1
10156316962108463_10156317377898463,8245623462_10156316962108463,10156316962108463_10156317147103463,b'Agreed Gabe',0,2018-03-18 04:22:52,0
10156316962108463_10156317377948463,8245623462_10156316962108463,10156316962108463_10156317147103463,b'Agreed Gabe',0,2018-03-18 04:22:54,0
10156316962108463_10156317147233463,8245623462_10156316962108463,,b'Corbin Haitana happy man',0,2018-03-18 02:42:18,1
10156316962108463_10156317159873463,8245623462_10156316962108463,,b'Tarun Rao draymond can have his own team if he wanted.',0,2018-03-18 02:46:30,1
10156316962108463_10156317342198463,8245623462_10156316962108463,10156316962108463_10156317159873463,b'That is just wrong',0,2018-03-18 04:08:51,0
10156316962108463_10156317354628463,8245623462_10156316962108463,10156316962108463_10156317159873463,b'LOOOOOOK',0,2018-03-18 04:12:59,0
10156316962108463_10156317162078463,8245623462_10156316962108463,,b'Harry Ainscough',0,2018-03-18 02:47:21,0
10156316962108463_10156317178178463,8245623462_10156316962108463,,b'This the same Team Lonzo dropped 25 on I know people gotta love going against the Suns \xf0\x9f\x98\x82',0,2018-03-18 02:53:37,0
10156316962108463_10156317188658463,8245623462_10156316962108463,,"b""But let's see if he can do it against NBA talent.""",0,2018-03-18 02:57:22,0
10156316962108463_10156317198643463,8245623462_10156316962108463,,b'Super',0,2018-03-18 03:00:21,0
10156316962108463_10156317209408463,8245623462_10156316962108463,,b'Jeremy  Tan \xef\xbc\x8c \xe4\xbd\xa0\xe7\x9c\x8b\xe4\xb9\x84\xe4\xbf\x8a \xe6\x8c\xba\xe8\xba\xab\xe8\x80\x8c\xe5\x87\xba\xef\xbc\x8c\xe5\x87\xba\xe6\x9d\xa5\xe4\xba\x86',0,2018-03-18 03:05:27,0
10156316962108463_10156317211633463,8245623462_10156316962108463,,b'Jackson Muir oh',0,2018-03-18 03:06:27,1
10156316962108463_10156317217098463,8245623462_10156316962108463,,"b'i think this win is not only about the dubs having good players, its also about the suns having problems with their team something is wrong with them.'",0,2018-03-18 03:09:37,0
10156316962108463_10156317218978463,8245623462_10156316962108463,,b'It was the suns enough said',0,2018-03-18 03:10:26,0
10156316962108463_10156317228308463,8245623462_10156316962108463,,b'Lonzo Ball is Michael Carter Williams just sayin',0,2018-03-18 03:14:59,0
10156316962108463_10156317239858463,8245623462_10156316962108463,,b'Draymond is the goat',0,2018-03-18 03:21:06,0
10156316962108463_10156317242458463,8245623462_10156316962108463,,b'Phillip Weathersby',0,2018-03-18 03:22:33,0
10156316962108463_10156317243383463,8245623462_10156316962108463,,"b""These highlights aren't showing anything but how little the Suns are playing. They are just letting him get in the paint. Easy for a guy like that to score big against weak defense.""",0,2018-03-18 03:23:09,0
10156316962108463_10156317295178463,8245623462_10156316962108463,,"b""The only thing I can see in this video is Payton's ridiculous hair""",0,2018-03-18 03:46:01,0
10156316962108463_10156317306123463,8245623462_10156316962108463,,b'\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80',0,2018-03-18 03:51:44,0
10156316962108463_10156317307038463,8245623462_10156316962108463,,b'Peter hier is der mit dem Leningrader Cowboys Haarschnitt\xf0\x9f\x99\x88',0,2018-03-18 03:52:20,0
10156316962108463_10156317311113463,8245623462_10156316962108463,,b'Patrik Laczk\xc3\xb3 Nagyon adta neki az este',0,2018-03-18 03:54:55,1
10156316962108463_10156317534143463,8245623462_10156316962108463,10156316962108463_10156317311113463,b'Wow',0,2018-03-18 05:38:37,0
